Date,Brand,Item Category,Item Group,Sub Item Group,Thickness,Size,Item Name,AX Code,QTY/Box,QTY/M2,QTY/Sh,Price/M2,Price/Sh,Price/Box,SO. No.,Invoice No.,Customer Name,Value Without Vat,Vat 14%,Total Value,Shipment No.,Shipment Code,Ex. Rate,Price/M2 +14%,Current Stock,Cost Per M2,Total Cost,Margin,Cost per Box,Value per Box,Box + VAT,Customer Segment,Lead Time,Arrival Date,Shipment Lead Time
30-May-23,Fuji,Plate,Solvent,Digital,1.7,1270 x 2032 mm,Flexo Solvent Digital Plate 1.7 / 1270 x 2032 mm,FC2003732,5,129,50,"EGP 2,777 ","EGP 7,166 ","EGP 71,664 ",FLX.2023.SO.000006,FLX.2023.M.INV.00005,ElEsraa Prepress,"EGP 358,320 ","EGP 50,165 ","EGP 408,484 ",2023/144,2023-P01,39.9,"EGP 3,166 ",0,"EGP 2,018 ","EGP 260,420 ",27.30%,"EGP 52,084 ","EGP 71,664 ","EGP 81,697 ",Repro House,120,15-May-23,15
30-May-23,Fuji,Plate,Solvent,Digital,3.94,1270 x 2032 mm,Flexo Solvent Digital Plate 3.94 / 1270 x 2032 mm,FC2009933,8,123.9,48,"EGP 2,951 ","EGP 7,614 ","EGP 45,686 ",FLX.2023.SO.000006,FLX.2023.M.INV.00005,ElEsraa Prepress,"EGP 365,486 ","EGP 51,168 ","EGP 416,654 ",2023/144,2023-P01,39.9,"EGP 3,364 ",0,"EGP 2,018 ","EGP 250,003 ",31.60%,"EGP 31,250 ","EGP 45,686 ","EGP 52,082 ",Repro House,120,15-May-23,15
7-Jun-23,Fuji,Plate,Solvent,Analog,3.94,1067 x 1524 mm,Flexo Solvent Analog Plate 3.94 / 1067 x 1524 mm,FC2003735,2,19.5,12,"EGP 2,807 ","EGP 4,565 ","EGP 27,387 ",FLX.2023.SO.000010,FLX.2023.M.INV.00008,flx home,"EGP 54,774 ","EGP 7,668 ","EGP 62,443 ",2023/147,2023-P01,39.44,"EGP 3,200 ",0,"EGP 1,995 ","EGP 38,920 ",28.90%,"EGP 19,460 ","EGP 27,387 ","EGP 31,221 ",Repro House,0,15-May-23,23
7-Jun-23,Fuji,Plate,Solvent,Analog,2.84,1067 x 1524 mm,Flexo Solvent Analog Plate 2.84 / 1067 x 1524 mm,FC2007777,1,13,8,"EGP 2,807 ","EGP 4,565 ","EGP 36,516 ",FLX.2023.SO.000010,FLX.2023.M.INV.00008,flx home,"EGP 36,516 ","EGP 5,112 ","EGP 41,628 ",2023/147,2023-P01,39.44,"EGP 3,200 ",0,"EGP 1,995 ","EGP 25,947 ",28.90%,"EGP 25,947 ","EGP 36,516 ","EGP 41,628 ",Repro House,0,15-May-23,23
7-Jun-23,Fuji,Plate,Solvent,Digital,3.94,1270 x 2032 mm,Flexo Solvent Digital Plate 3.94 / 1270 x 2032 mm,FC2009933,2,31,12,"EGP 2,982 ","EGP 7,697 ","EGP 46,180 ",FLX.2023.SO.000009,FLX.2023.M.INV.00007,Smart Four Flexo,"EGP 92,360 ","EGP 12,930 ","EGP 105,290 ",2023/144,2023-P01,39.9,"EGP 3,400 ",0,"EGP 2,018 ","EGP 62,501 ",32.30%,"EGP 31,250 ","EGP 46,180 ","EGP 52,645 ",Repro House,32,15-May-23,23
8-Jun-23,Fuji,Plate,Solvent,Digital,1.14,900 x 1200 mm,Flexo Solvent Digital Plate 1.14 / 900 x 1200 mm,FC2003728,13,168.5,156,"EGP 2,807 ","EGP 3,032 ","EGP 36,379 ",FLX.2023.SO.000011,FLX.2023.M.INV.00009,Hayat,"EGP 472,926 ","EGP 66,210 ","EGP 539,136 ",2023/144,2023-P01,39.9,"EGP 3,200 ",0,"EGP 2,018 ","EGP 340,035 ",28.10%,"EGP 26,157 ","EGP 36,379 ","EGP 41,472 ",Wide Web,7,15-May-23,24
8-Jun-23,Fuji,Plate,Solvent,Digital,1.14,1067 x 1524 mm,Flexo Solvent Digital Plate 1.14 / 1067 x 1524 mm,FC2003730,10,195.1,120,"EGP 2,807 ","EGP 4,565 ","EGP 54,774 ",FLX.2023.SO.000011,FLX.2023.M.INV.00009,Hayat,"EGP 547,742 ","EGP 76,684 ","EGP 624,425 ",2023/144,2023-P01,39.9,"EGP 3,200 ",0,"EGP 2,018 ","EGP 393,827 ",28.10%,"EGP 39,383 ","EGP 54,774 ","EGP 62,443 ",Wide Web,7,15-May-23,24
8-Jun-23,Fuji,Plate,Solvent,Digital,1.14,1067 x 1524 mm,Flexo Solvent Digital Plate 1.14 / 1067 x 1524 mm,FC2003730,10,195.1,120,"EGP 2,807 ","EGP 4,565 ","EGP 54,774 ",FLX.2023.SO.000011,FLX.2023.M.INV.00009,Hayat,"EGP 547,742 ","EGP 76,684 ","EGP 624,425 ",2023/147,2023-P01,39.44,"EGP 3,200 ",0,"EGP 1,995 ","EGP 389,204 ",28.90%,"EGP 38,920 ","EGP 54,774 ","EGP 62,443 ",Wide Web,7,15-May-23,24
8-Jun-23,Fuji,Plate,Solvent,Digital,1.14,1270 x 2032 mm,Flexo Solvent Digital Plate 1.14 / 1270 x 2032 mm,FC2003731,6,185.8,72,"EGP 2,807 ","EGP 7,244 ","EGP 86,927 ",FLX.2023.SO.000011,FLX.2023.M.INV.00009,Hayat,"EGP 521,561 ","EGP 73,019 ","EGP 594,579 ",2023/144,2023-P01,39.9,"EGP 3,200 ",0,"EGP 2,018 ","EGP 375,004 ",28.10%,"EGP 62,501 ","EGP 86,927 ","EGP 99,097 ",Wide Web,7,15-May-23,24
25-Jun-23,Fuji,Plate,Solvent,Analog,3.94,1067 x 1524 mm,Flexo Solvent Analog Plate 3.94 / 1067 x 1524 mm,FC2003735,10,97.6,60,"EGP 2,895 ","EGP 4,707 ","EGP 28,242.9 ",FLX.2023.SO.000013,FLX.2023.M.INV.00010,Flexo 24,"EGP 282,429 ","EGP 39,540 ","EGP 321,969 ",2023/147,2023-P01,39.44,"EGP 3,300 ",0,"EGP 1,995 ","EGP 194,602 ",31.10%,"EGP 19,460 ","EGP 28,243 ","EGP 32,197 ",Repro House,-3,15-May-23,41
